"","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"0",-9195.06697527425,-9218.85901232278,-9248.59905863351,-9286.83626103286,-9337.81919756551,-9409.195308711,-9516.25947542951,-9694.69975329351,-10051.5803090212,-11122.221976205,Inf
"0.1",-9711.47387984173,-9796.45371614008,-9903.80676024732,-10043.7079376565,-10233.6044301054,-10506.1261978638,-10930.1932739611,-11680.8965144156,-13371.9938992447,-20732.4784782472,8396.69698869378
"0.2",-10273.204406186,-10430.9296853969,-10632.5093074506,-10899.1866101683,-11268.5675371363,-11814.1317846398,-12701.40590902,-14397.8148065751,-18937.8206980587,-70489.6916815351,5742.83975638496
"0.3",-10886.4993171539,-11131.1245447098,-11447.8073613037,-11873.8851465524,-12477.8765789449,-13400.621013364,-14984.8986933322,-18339.6014379953,-30190.2932102464,70669.4985858425,4858.22067894899
"0.4",-11558.8002417032,-11907.8067130041,-12366.1119139075,-12994.5919640766,-13909.6379406407,-15365.1261519363,-18040.491807964,-24575.6176115938,-64946.4321767572,26245.051371831,4415.91114023084
"0.5",-12299.053114885,-12774.2331533142,-13408.2603787711,-14296.7709930818,-15631.4490259903,-17861.0260299449,-22339.4555675442,-35930.9655872689,1536182.4174398,17060.6766073098,4150.52541699995
"0.6",-13118.1085246042,-13746.9123186626,-14601.1168841483,-15828.3830588078,-17741.3821779325,-21137.6546576386,-28834.560594094,-63098.6790084914,65578.1274508995,13092.8499412917,3973.6016015128
"0.7",-14029.2571012624,-14846.6661207022,-15979.9209480182,-17655.9222836376,-20387.3399329858,-25629.2512437626,-39785.974413284,-214814.15440624,34983.5693350243,10880.2149185307,3847.22744759332
"0.8",-15048.956259915,-16100.1372060292,-17591.8273629167,-19874.3255872847,-23803.3082209035,-32165.3776898332,-62174.8024243585,171718.325684499,24500.5228094487,9469.07832267268,3752.44683215378
"0.9",-16197.8331382882,-17541.9757579113,-19501.4072301138,-22624.0016967065,-28382.6497220432,-42553.3427641586,-133500.120244057,63881.0037392518,19203.9039252999,8490.72300178133,3678.72857570075
"1",-17502.094473907,-19218.0922691968,-21799.5066845043,-26121.7589729375,-34841.6502816857,-61620.4764738751,1473727.18884897,40168.7462018852,16008.07914125,7772.52545550129,3619.75397053837
